31.128.171.0/24,UA,UA-63,Kharkiv,
31.128.172.0/24,UA,UA-63,Kharkiv,
31.128.173.0/24,UA,UA-63,Kharkiv,
31.128.174.0/24,UA,UA-63,Kharkiv,
31.128.175.0/24,UA,UA-63,Kharkiv,
31.128.182.0/24,UA,UA-63,Kharkiv,
94.124.162.0/24,UA,UA-63,Kharkiv,
94.124.163.0/24,UA,UA-63,Kharkiv,
94.124.165.0/24,UA,UA-63,Kharkiv,
94.124.167.0/24,UA,UA-63,Kharkiv,
95.47.116.0/24,UA,UA-63,Kharkiv,
95.47.117.0/24,UA,UA-63,Kharkiv,
146.120.95.0/24,UA,UA-63,Kharkiv,
195.140.224.0/22,UA,UA-63,Kharkiv,
195.140.224.0/24,UA,UA-63,Kharkiv,
195.140.225.0/24,UA,UA-63,Kharkiv,
195.140.226.0/24,UA,UA-63,Kharkiv,
195.140.227.0/24,UA,UA-63,Kharkiv,
